"scientificName","decimalLongitude","decimalLatitude","individualCount","occurrenceStatus","coordinateUncertaintyInMeters","institutionCode","references"
"Betula nana L.",16.04,65.978,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",17.577,65.186,NA,"PRESENT",200,"SLU Artdatabanken",NA
"Betula nana L.",18.715,68.365,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",12.709,62.895,NA,"PRESENT",250,"SLU Artdatabanken",NA
"Betula nana L.",13.039,62.136,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",18.484,63.111,NA,"PRESENT",4388,"SLU Artdatabanken",NA
"Betula nana L.",12.767,62.778,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",12.748,62.747,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",13.077,55.656,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",18.709,68.365,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",12.737,62.741,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",12.71,61.635,NA,"PRESENT",500,"SLU Artdatabanken",NA
"Betula nana L.",18.665,68.409,NA,"PRESENT",100,"SLU Artdatabanken",NA
"Betula nana L.",12.762,62.743,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",14.648,59.95,NA,"PRESENT",25,"SLU Artdatabanken",NA
"Betula nana L.",12.674,62.674,NA,"PRESENT",10,"SLU Artdatabanken",NA
"Betula nana L.",18.333,64.31,NA,"PRESENT",286,"SLU Artdatabanken",NA
"Betula nana L.",22.78,66.317,1,"PRESENT",4,"SLU Artdatabanken",NA
"Betula nana L.",16.062,65.693,NA,"PRESENT",25,"SLU Artdatabanken",NA
